City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Esperance,AU,-33.87,121.9,62.6,100,90,11.41,light rain
284,Puerto Lleras,CO,3.02,-73.4,74.26,93,100,2.21,overcast clouds
285,Rocha,UY,-34.48,-54.33,60.55,69,0,6.26,clear sky
286,Barrow,US,71.29,-156.79,28.4,74,75,20.8,broken clouds
287,Brigantine,US,39.41,-74.36,59.0,100,90,4.7,moderate rain
288,Ayan,RU,56.45,138.17,26.46,98,100,20.76,snow
289,Nikolsk,RU,53.72,46.07,40.32,92,100,8.84,light rain
290,Mendoza,AR,-32.89,-68.83,86.0,13,0,4.7,clear sky
291,Dakoro,NE,14.51,6.76,81.0,17,0,11.72,clear sky
292,Kendari,ID,-3.94,122.5,74.52,92,100,3.02,overcast clouds
293,Fengzhen,CN,40.44,113.15,27.81,77,0,6.91,clear sky
294,Lakota,CI,5.85,-5.69,72.54,99,69,2.86,broken clouds
295,Xuanzhou,CN,30.95,118.76,59.99,87,100,3.76,overcast clouds
296,Nakhon Thai,TH,17.1,100.84,73.13,88,3,2.26,clear sky
297,Ahipara,NZ,-35.17,173.17,68.38,74,100,7.11,overcast clouds
298,Eydhafushi,MV,5.1,73.07,82.35,69,64,5.1,broken clouds
299,Palora,EC,-1.7,-77.93,71.6,83,90,4.7,shower rain
300,Glens Falls,US,43.31,-73.64,46.99,87,90,8.05,moderate rain
301,Ankazobe,MG,-18.32,47.12,59.0,87,20,5.82,few clouds
302,Hambantota,LK,6.12,81.12,78.8,100,90,1.12,overcast clouds
303,Porto Velho,BR,-8.76,-63.9,86.0,70,75,6.93,shower rain
304,Kozluk,TR,38.19,41.49,73.4,35,75,5.82,light rain
305,Zapolyarnyy,RU,69.42,30.81,37.4,93,75,27.51,broken clouds
306,Fort Frances,CA,48.6,-93.4,30.2,39,1,11.41,clear sky
307,Bambari,CF,5.77,20.68,71.94,84,17,1.88,few clouds
308,Alice Springs,AU,-23.7,133.88,62.6,29,0,8.55,clear sky
309,Lompoc,US,34.64,-120.46,82.0,47,1,12.75,clear sky
310,Hamilton,US,39.18,-84.53,48.2,39,40,23.04,scattered clouds
311,Leningradskiy,RU,69.38,178.42,14.34,82,90,5.7,overcast clouds
312,Sarangani,PH,5.4,125.46,83.17,74,100,8.1,overcast clouds
313,Nakambala,ZM,-15.83,27.78,71.19,47,0,7.29,clear sky
314,Urumqi,CN,43.8,87.6,35.6,64,0,6.71,clear sky
315,Sohag,EG,26.56,31.69,77.0,53,0,9.17,clear sky
316,Cardston,CA,49.2,-113.3,62.6,28,2,27.51,clear sky
317,Gamba,GA,-2.65,10.0,76.14,90,100,0.58,overcast clouds
318,Nhamunda,BR,-2.19,-56.71,95.67,33,19,1.97,few clouds
319,Christchurch,NZ,-43.53,172.63,57.0,76,100,2.24,overcast clouds
320,Mokhsogollokh,RU,61.47,128.92,-12.89,89,6,1.99,clear sky
321,Saint George,US,37.1,-113.58,77.0,12,1,3.15,clear sky
322,Naze,JP,28.37,129.48,73.4,94,75,4.7,broken clouds
323,Yeppoon,AU,-23.13,150.73,71.6,88,75,6.73,broken clouds
324,Los Llanos De Aridane,ES,28.66,-17.92,78.8,22,0,8.05,clear sky
325,Jobabo,CU,20.97,-76.3,86.0,66,75,18.34,broken clouds
326,Pasni,PK,25.26,63.47,74.44,40,0,9.17,clear sky
327,Westport,US,41.14,-73.36,54.0,81,90,10.29,moderate rain
328,Baruun-Urt,MN,46.68,113.28,14.27,81,9,8.68,clear sky
329,Krasnoselkup,RU,65.7,82.47,22.87,96,100,18.1,overcast clouds
330,Northam,GB,51.03,-4.22,62.01,95,100,20.0,overcast clouds
331,Necochea,AR,-38.55,-58.74,64.0,64,40,12.66,scattered clouds
332,Nanortalik,GL,60.14,-45.24,30.38,86,0,30.4,clear sky
333,Los Alamos,US,35.89,-106.31,57.0,32,1,3.36,clear sky
334,Peru,US,40.75,-86.07,39.2,44,90,24.16,overcast clouds
335,Ouadda,CF,8.08,22.4,70.59,83,60,2.26,broken clouds
336,Mahajanga,MG,-15.72,46.32,78.8,69,20,5.82,few clouds
337,Namatanai,PG,-3.67,152.43,81.95,77,99,4.38,overcast clouds
338,Oksfjord,NO,70.24,22.35,42.8,75,0,17.22,clear sky
339,Hailey,US,43.52,-114.32,63.0,21,5,9.17,clear sky
340,Port-Gentil,GA,-0.72,8.78,80.6,88,75,9.17,thunderstorm
341,Evensk,RU,61.95,159.23,20.32,93,90,5.19,overcast clouds
342,Korla,CN,41.76,86.15,35.01,59,0,7.0,clear sky
343,Matadi,CD,-5.82,13.45,79.09,80,99,8.28,light rain
344,Cairns,AU,-16.92,145.77,69.8,77,40,10.29,scattered clouds
345,Kahului,US,20.89,-156.47,86.0,58,40,9.17,scattered clouds
346,Betare Oya,CM,5.6,14.08,68.79,89,70,3.27,light rain
347,Roebourne,AU,-20.78,117.13,73.2,70,93,10.85,overcast clouds
348,Mirnyy,RU,62.54,113.96,-7.6,76,0,6.71,clear sky
349,Altamira,BR,-3.2,-52.21,95.0,41,20,6.93,few clouds
350,Tarakan,ID,3.3,117.63,76.33,88,100,7.65,overcast clouds
351,Natal,BR,-5.79,-35.21,82.4,78,40,14.99,scattered clouds
352,Santiago De Cao,PE,-7.96,-79.24,64.4,77,75,10.29,broken clouds
353,Russkaya Polyana,UA,49.42,31.92,46.06,91,100,9.64,light rain
354,Ciampino,IT,41.8,12.61,60.8,82,40,4.7,scattered clouds
355,Ouallam,NE,14.32,2.09,85.39,14,0,11.39,clear sky
356,Serafimovskiy,RU,54.42,53.8,30.97,99,22,4.43,few clouds
357,Knysna,ZA,-34.04,23.05,59.0,100,0,2.24,clear sky
358,Thinadhoo,MV,0.53,72.93,83.16,75,99,10.67,overcast clouds
359,Byron Bay,AU,-28.65,153.62,64.4,82,19,6.93,few clouds
360,Ilulissat,GL,69.22,-51.1,19.4,62,100,9.17,overcast clouds
361,Muzhi,RU,65.37,64.67,26.58,94,21,14.61,few clouds
362,Majene,ID,-3.54,118.97,78.12,85,99,5.5,light rain
363,Thunder Bay,CA,48.4,-89.32,30.2,39,1,16.11,clear sky
364,Bacolod,PH,10.67,122.95,77.22,81,79,8.01,broken clouds
365,Tsogni,GA,-2.79,10.1,75.25,93,100,1.28,overcast clouds
366,Japura,ID,-0.32,102.35,73.98,95,100,1.77,overcast clouds
367,Buraydah,SA,26.33,43.98,69.8,37,0,6.93,clear sky
368,Whitianga,NZ,-36.83,175.7,70.0,76,99,3.0,overcast clouds
369,Nouadhibou,MR,20.93,-17.03,82.4,32,100,11.41,overcast clouds
370,Puerto Ayacucho,VE,5.66,-67.62,74.88,93,100,9.64,light rain
371,Boguchar,RU,49.94,40.55,51.28,88,53,10.4,light rain
372,Pinawa,CA,50.15,-95.88,30.79,84,67,10.36,broken clouds
373,Anjiang,CN,27.32,110.1,55.2,87,100,1.63,light rain
374,Pangai,TO,-19.8,-174.35,77.0,83,75,23.04,broken clouds
375,Lae,PG,-6.72,146.98,75.2,73,40,3.36,scattered clouds
376,Nyurba,RU,63.28,118.33,1.27,92,39,8.46,scattered clouds
377,Ulaanbaatar,MN,47.91,106.88,-0.4,77,0,2.24,clear sky
378,Port Blair,IN,11.67,92.75,79.97,79,57,3.89,broken clouds
379,Sakhipur,BD,24.3,90.18,77.0,83,75,3.18,haze
380,Palana,RU,59.12,159.97,29.84,93,97,6.76,overcast clouds
381,Mitha Tiwana,PK,32.25,72.11,68.13,21,0,2.82,clear sky
382,Yelizovo,RU,53.19,158.38,30.2,80,3,6.71,clear sky
383,Duvan,RU,55.7,57.9,29.44,96,37,3.62,scattered clouds
384,Guerrero Negro,MX,27.98,-114.06,80.46,37,19,11.12,few clouds
385,Pevek,RU,69.7,170.31,15.6,91,100,13.15,overcast clouds
386,Semporna,MY,4.48,118.61,75.2,94,20,5.84,light rain
387,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,28.4,86,8,4.47,clear sky
388,Altamont,US,42.21,-121.74,69.01,31,1,2.3,clear sky
389,La Asuncion,VE,11.03,-63.86,95.0,50,86,14.99,light rain
390,Eenhana,NA,-17.47,16.33,86.0,33,11,6.93,few clouds
391,Inverell,AU,-29.78,151.12,62.01,70,0,3.0,clear sky
392,Morant Bay,JM,17.88,-76.41,82.4,83,75,19.46,shower rain
393,Powell,US,40.16,-83.08,39.99,51,90,26.4,overcast clouds
394,Pueblo,US,38.25,-104.61,68.0,27,1,6.13,clear sky
395,Yeniseysk,RU,58.45,92.17,33.42,96,100,9.26,overcast clouds
396,Medicine Hat,CA,50.05,-110.67,60.8,38,75,9.17,broken clouds
397,Soderhamn,SE,61.3,17.06,48.99,98,100,8.01,overcast clouds
398,Saint Anthony,US,45.02,-93.22,39.0,32,1,12.75,clear sky
399,Tambovka,RU,50.1,128.05,21.2,92,75,11.18,shower snow
400,Meadow Lake,US,34.8,-106.54,68.0,29,75,3.94,broken clouds
401,Masalli,KR,34.8,126.66,55.4,100,92,3.36,moderate rain
402,Lazarev,RU,52.23,141.51,41.38,93,100,0.09,light rain
403,Bo Phloi,TH,14.32,99.52,74.43,91,6,5.95,clear sky
404,San Nicolas,PH,18.17,120.6,79.57,84,100,15.99,light rain
405,Kindu,CD,-2.95,25.95,70.16,91,92,0.47,light rain
